PNA,CITY,ADRESS,WOJ,CONCAT,CONCAT_LONG,MUN_COU,ADRESS_2,MUN_COU_2
26-212, Adamów,smyków konecki,świętokrzyskie,smyków konecki,,smyków konecki,,smyków konecki
95-015, Albinów,głowno zgierski,łódzkie,głowno zgierski,,głowno zgierski,,głowno zgierski
23-450, Albinów Duży,goraj biłgorajski,lubelskie,goraj biłgorajski,,goraj biłgorajski,,goraj biłgorajski
23-450, Albinów Mały,goraj biłgorajski,lubelskie,goraj biłgorajski,,goraj biłgorajski,,goraj biłgorajski
95-035, Aleksandria,ozorków zgierski,łódzkie,ozorków zgierski,,ozorków zgierski,,ozorków zgierski
05-192, Aleksandria,"4-6, 7-9(n), nowe miasto płoński",mazowieckie,nowe miasto płoński,,nowe miasto płoński,"4-6, 7-9(n), ",nowe miasto płoński
05-192, Aleksandria,12-15,mazowieckie,,,,12-15,nowe miasto płoński
09-120, Aleksandria,"8-10(p), 11, 31 nowe miasto płoński",mazowieckie,nowe miasto płoński,,nowe miasto płoński,"8-10(p), 11, 31 ",nowe miasto płoński
96-330, Aleksandria,puszcza mariańska żyrardowski,mazowieckie,puszcza mariańska żyrardowski,,puszcza mariańska żyrardowski,,puszcza mariańska żyrardowski
42-274, Aleksandria (Aleksandria Druga),konopiska częstochowski,śląskie,konopiska częstochowski,,konopiska częstochowski,,konopiska częstochowski
42-274, Aleksandria (Aleksandria Pierwsza),konopiska częstochowski,śląskie,konopiska częstochowski,,konopiska częstochowski,,konopiska częstochowski
64-308, Aleksandrowo,rakoniewice grodziski,wielkopolskie,rakoniewice grodziski,,rakoniewice grodziski,,rakoniewice grodziski
64-400, Aleksandrowo,międzychód międzychodzki,wielkopolskie,międzychód międzychodzki,,międzychód międzychodzki,,międzychód międzychodzki
62-120, Aleksandrowo,wapno wągrowiecki,wielkopolskie,wapno wągrowiecki,,wapno wągrowiecki,,wapno wągrowiecki
23-408, Aleksandrów (Aleksandrów Trzeci),aleksandrów biłgorajski,lubelskie,aleksandrów biłgorajski,,aleksandrów biłgorajski,,aleksandrów biłgorajski
23-408, Aleksandrów,aleksandrów biłgorajski,lubelskie,aleksandrów biłgorajski,,aleksandrów biłgorajski,,aleksandrów biłgorajski
23-408, Aleksandrów (Aleksandrów Drugi),aleksandrów biłgorajski,lubelskie,aleksandrów biłgorajski,,aleksandrów biłgorajski,,aleksandrów biłgorajski
23-408, Aleksandrów (Aleksandrów Pierwszy),aleksandrów biłgorajski,lubelskie,aleksandrów biłgorajski,,aleksandrów biłgorajski,,aleksandrów biłgorajski
23-275, Aleksandrów,gościeradów kraśnicki,lubelskie,gościeradów kraśnicki,,gościeradów kraśnicki,,gościeradów kraśnicki
21-400, Aleksandrów,łuków łukowski,lubelskie,łuków łukowski,,łuków łukowski,,łuków łukowski
09-135, Antoniewo,siemiątkowo żuromiński,mazowieckie,siemiątkowo żuromiński,,siemiątkowo żuromiński,,siemiątkowo żuromiński
89-632, Antoniewo,brusy chojnicki,pomorskie,brusy chojnicki,,brusy chojnicki,,brusy chojnicki
14-300, Antoniewo,morąg ostródzki,warmińsko-mazurskie,morąg ostródzki,,morąg ostródzki,,morąg ostródzki
64-721, Antoniewo,lubasz czarnkowsko-,wielkopolskie,,lubasz czarnkowsko-trzcianecki,lubasz czarnkowsko-trzcianecki,,lubasz czarnkowsko-trzcianecki
64-721, Antoniewo,trzcianecki,wielkopolskie,,,,,lubasz czarnkowsko-trzcianecki
63-910, Antoniewo,miejska górka rawicki,wielkopolskie,miejska górka rawicki,,miejska górka rawicki,,miejska górka rawicki
62-085, Antoniewo Górne,skoki wągrowiecki,wielkopolskie,skoki wągrowiecki,,skoki wągrowiecki,,skoki wągrowiecki
19-222, Bagienice,wąsosz grajewski,podlaskie,wąsosz grajewski,,wąsosz grajewski,,wąsosz grajewski
18-423, Bagienice,przytuły łomżyński,podlaskie,przytuły łomżyński,,przytuły łomżyński,,przytuły łomżyński
11-700, Bagienice,mrągowo mrągowski,warmińsko-mazurskie,mrągowo mrągowski,,mrągowo mrągowski,,mrągowo mrągowski
09-310, Bagienice Duże,kuczbork-osada żuromiński,mazowieckie,kuczbork-osada żuromiński,,kuczbork-osada żuromiński,,kuczbork-osada żuromiński
09-310, Bagienice Małe,kuczbork-osada żuromiński,mazowieckie,kuczbork-osada żuromiński,,kuczbork-osada żuromiński,,kuczbork-osada żuromiński
11-700, Bagienice Małe (Joachimowo),mrągowo mrągowski,warmińsko-mazurskie,mrągowo mrągowski,,mrągowo mrągowski,,mrągowo mrągowski
80-299, Barniewice Dębowa,żukowo kartuski,pomorskie,żukowo kartuski,,żukowo kartuski,,żukowo kartuski
80-297, Barniewice Jaskółcza,żukowo kartuski,pomorskie,żukowo kartuski,,żukowo kartuski,,żukowo kartuski
80-297, Barniewice Lipowa,żukowo kartuski,pomorskie,żukowo kartuski,,żukowo kartuski,,żukowo kartuski
